ExerciseName;ExerciseInstructions;Focus
Incline Dumbbell Press;Targets the upper chest and shoulders. Performed lying on an incline bench, pressing dumbbells upward from chest level until arms are extended.;Upper
Lat Pulldown Wide Grip;Works the lats, upper back, and biceps. Pull a wide bar down to the upper chest while keeping the torso upright.;Upper
Overhead Extension;Strengthens the triceps. Performed by extending a dumbbell or cable overhead from behind the head to a full arm lockout.;Upper
Elbow Supported Curl;Isolates the biceps by resting the elbows on a pad or knee and curling a dumbbell upward through a full range of motion.;Upper
Dumbbell Lateral Raise;Targets the side delts. Raise dumbbells out to the sides until arms are parallel with the floor, keeping a slight bend in the elbows.;Upper
Seated Leg Curl;Works the hamstrings. Sitting on a leg curl machine, pull the padded lever down toward the back of your legs.;Lower
Leg Extension;Focuses on the quadriceps. Sitting upright, extend your legs upward against resistance until fully straight.;Lower
Reverse Cable Curl;Targets the brachioradialis and biceps. Using an overhand grip, curl the cable bar upward while keeping elbows close to the body.;Lower
Leg Press;Builds quads, glutes, and hamstrings. Push a weighted platform away using your legs, keeping feet shoulder-width apart.;Lower
Back Extension;Strengthens the lower back and glutes. Bend forward at the hips on a back extension bench, then raise your torso until aligned with your legs.;Lower
Decline Crunch;Engages the upper abs. On a decline bench, curl your torso upward toward your knees while keeping the lower body stable.;Lower
